Title,Poster,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Money Shot: The Pornhub Story,https://image.tmdb.org/t/p/w500//kpTqWqLYcf1uErnx5VXLah4EWJZ.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark Side of the Moon,https://image.tmdb.org/t/p/w500//v5CfpzxoJDkZxjZAizClFdlEF0U.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Black Adam,https://image.tmdb.org/t/p/w500//pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Devil Conspiracy,https://image.tmdb.org/t/p/w500//2lUYbD2C3XSuwqMUbDVDQuz9mqz.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Plane,https://image.tmdb.org/t/p/w500//qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Batman: The Doom That Came to Gotham,https://image.tmdb.org/t/p/w500//hrATQE8ScQceohwInaMluluNEaf.jpg,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Prizefighter: The Life of Jem Belcher,https://image.tmdb.org/t/p/w500//x3PIk93PTbxT88ohfeb26L1VpZw.jpg,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sayen,https://image.tmdb.org/t/p/w500//aCy61aU7BMG7SfhkaAaasS0KzUO.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,https://image.tmdb.org/t/p/w500//h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13 Exorcisms,https://image.tmdb.org/t/p/w500//8LpnMIqpRiwxpbGR33ALCmVl7gj.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Die Hart,https://image.tmdb.org/t/p/w500//1EnBjTJ5utgT1OXYBZ8YwByRCzP.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Knock at the Cabin,https://image.tmdb.org/t/p/w500//dm06L9pxDOL9jNSK4Cb6y139rrG.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Super Mario Bros.,https://image.tmdb.org/t/p/w500//cudfWiiFDxj8rq1Myolzv6yY3ah.jpg,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
H.P. Lovecraft's Witch House,https://image.tmdb.org/t/p/w500//5KmscR49WkmuPJKjmK4OUmsRn5C.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sick,https://image.tmdb.org/t/p/w500//nBgxSimgLMGYCQckRQw7C2f7row.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
John Wick: Chapter 5,https://image.tmdb.org/t/p/w500//A1Z4TjH3xqu4rHwAgLM3LX89luC.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M3GAN,https://image.tmdb.org/t/p/w500//d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Magician's Elephant,https://image.tmdb.org/t/p/w500//cAoAgzOCxSytYBqqCQulhXNR3LB.jpg,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Super Mario Brothers: Great Mission to Rescue Princess Peach,https://image.tmdb.org/t/p/w500//d8466YAgDFZmsrWmgizPcUQMsIx.jpg,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Super Mario Bros. Movie,https://image.tmdb.org/t/p/w500//qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Creed III,https://image.tmdb.org/t/p/w500//cvsXj3I9Q2iyyIo95AecSd1tad7.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Avatar: The Way of Water,https://image.tmdb.org/t/p/w500//t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Murder Mystery 2,https://image.tmdb.org/t/p/w500//s1VzVhXlqsevi8zeCMG9A16nEUf.jpg,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Shazam! Fury of the Gods,https://image.tmdb.org/t/p/w500//A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cocaine Bear,https://image.tmdb.org/t/p/w500//gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,https://image.tmdb.org/t/p/w500//rzRb63TldOKdKydCvWJM8B6EkPM.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Puss in Boots: The Last Wish,https://image.tmdb.org/t/p/w500//kuf6dutpsT0vSVehic3EZIqkOBt.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
John Wick: Chapter 4,https://image.tmdb.org/t/p/w500//vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Pope's Exorcist,https://image.tmdb.org/t/p/w500//9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Mummies,https://image.tmdb.org/t/p/w500//qVdrYN8qu7xUtsdEFeGiIVIaYd.jpg,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Exorcist,https://image.tmdb.org/t/p/w500//d07xtqwq1uriQ1hda6qeu8Skt5m.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Winnie the Pooh: Blood and Honey,https://image.tmdb.org/t/p/w500//fNTtVbqI92abEKAgz2ynurCUne.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Park,https://image.tmdb.org/t/p/w500//hR1jdCw0A9czgsbp45TASkjjBhA.jpg,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0
Supercell,https://image.tmdb.org/t/p/w500//gbGHezV6yrhua0KfAgwrknSOiIY.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kill Boksoon,https://image.tmdb.org/t/p/w500//taYgn3RRpCGlTGdaGQvnSIOzXFy.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cazadora,https://image.tmdb.org/t/p/w500//8QxCd3pSSrj6QqaG4fkNkaJmUa.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Panther: Wakanda Forever,https://image.tmdb.org/t/p/w500//sv1xJUazXeYqALzczSZ3O6nkH75.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Attack on Titan,https://image.tmdb.org/t/p/w500//qNz4l8UgTkD8rlqiKZ556pCJ9iO.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Passion of the Christ,https://image.tmdb.org/t/p/w500//2C9vyK6leWDb2ds65R7uIwSmh8V.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ant-Man and the Wasp: Quantumania,https://image.tmdb.org/t/p/w500//ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Money Shot: The Pornhub Story,https://image.tmdb.org/t/p/w500//kpTqWqLYcf1uErnx5VXLah4EWJZ.jpg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shark Side of the Moon,https://image.tmdb.org/t/p/w500//v5CfpzxoJDkZxjZAizClFdlEF0U.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
Black Adam,https://image.tmdb.org/t/p/w500//pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
The Devil Conspiracy,https://image.tmdb.org/t/p/w500//2lUYbD2C3XSuwqMUbDVDQuz9mqz.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Plane,https://image.tmdb.org/t/p/w500//qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Batman: The Doom That Came to Gotham,https://image.tmdb.org/t/p/w500//hrATQE8ScQceohwInaMluluNEaf.jpg,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Prizefighter: The Life of Jem Belcher,https://image.tmdb.org/t/p/w500//x3PIk93PTbxT88ohfeb26L1VpZw.jpg,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Sayen,https://image.tmdb.org/t/p/w500//aCy61aU7BMG7SfhkaAaasS0KzUO.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,https://image.tmdb.org/t/p/w500//h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13 Exorcisms,https://image.tmdb.org/t/p/w500//8LpnMIqpRiwxpbGR33ALCmVl7gj.jpg,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Die Hart,https://image.tmdb.org/t/p/w500//1EnBjTJ5utgT1OXYBZ8YwByRCzP.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Knock at the Cabin,https://image.tmdb.org/t/p/w500//dm06L9pxDOL9jNSK4Cb6y139rrG.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Super Mario Bros.,https://image.tmdb.org/t/p/w500//cudfWiiFDxj8rq1Myolzv6yY3ah.jpg,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
H.P. Lovecraft's Witch House,https://image.tmdb.org/t/p/w500//5KmscR49WkmuPJKjmK4OUmsRn5C.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sick,https://image.tmdb.org/t/p/w500//nBgxSimgLMGYCQckRQw7C2f7row.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
John Wick: Chapter 5,https://image.tmdb.org/t/p/w500//A1Z4TjH3xqu4rHwAgLM3LX89luC.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
M3GAN,https://image.tmdb.org/t/p/w500//d9nBoowhjiiYc4FBNtQkPY7c11H.jpg,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Magician's Elephant,https://image.tmdb.org/t/p/w500//cAoAgzOCxSytYBqqCQulhXNR3LB.jpg,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Super Mario Brothers: Great Mission to Rescue Princess Peach,https://image.tmdb.org/t/p/w500//d8466YAgDFZmsrWmgizPcUQMsIx.jpg,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gold Run,https://image.tmdb.org/t/p/w500//6E4LopmCMUXcMLIv7o3jw1xQrgJ.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Broker,https://image.tmdb.org/t/p/w500//ulGCgWnidH9LJTRL9rMV23cLtQb.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Legion of Super-Heroes,https://image.tmdb.org/t/p/w500//8M6bA5t2q5u1nWDTEIXuGDwvboW.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Demon Slayer: Kimetsu no Yaiba Sibling's Bond,https://image.tmdb.org/t/p/w500//vJUDoYNNKvBqbEPUskgvzPXGEFz.jpg,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Consecration,https://image.tmdb.org/t/p/w500//yQTRmPzKAdLodknnPVtImm6FWPZ.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Black Warrant,https://image.tmdb.org/t/p/w500//A7vFFZHbDyxfjuYKzJwruTnwwjT.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Little Dixie,https://image.tmdb.org/t/p/w500//cmWTZj9zzT9KFt3XyL0gssL7Ig8.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Prey for the Devil,https://image.tmdb.org/t/p/w500//iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Last Heretic,https://image.tmdb.org/t/p/w500//1j9B1iao0kqZnfSUqPadfXDdWNg.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
The Whale,https://image.tmdb.org/t/p/w500//jQ0gylJMxWSL490sy0RrPj1Lj7e.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fall,https://image.tmdb.org/t/p/w500//v28T5F1IygM8vXWZIycfNEm3xcL.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Roald Dahl's Matilda the Musical,https://image.tmdb.org/t/p/w500//ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Forbidden Legend: Sex & Chopsticks 2,https://image.tmdb.org/t/p/w500//A1yymig7S0FTWv9cTtOwdI1cH5V.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
The Simpsons Meet the Bocellis in Feliz Navidad,https://image.tmdb.org/t/p/w500//9rJFKvYvSyQ3HoTl1gcU55FOzYi.jpg,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Evil Dead Rise,https://image.tmdb.org/t/p/w500//5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Dungeons & Dragons: Honor Among Thieves,https://image.tmdb.org/t/p/w500//6LuXaihVIoJ5FeSiFb7CZMtU7du.jpg,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jujutsu Kaisen 0,https://image.tmdb.org/t/p/w500//23oJaeBh0FDk2mQ2P240PU9Xxfh.jpg,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shotgun Wedding,https://image.tmdb.org/t/p/w500//t79ozwWnwekO0ADIzsFP1E5SkvR.jpg,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Encanto at the Hollywood Bowl,https://image.tmdb.org/t/p/w500//sa3Ku5yNVjp8NloWxJoI9dQjvOi.jpg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diabolik - Ginko Attacks,https://image.tmdb.org/t/p/w500//8QVbWBv94BAT9u1q9uJccwOxMzt.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wick: Chapter 2,https://image.tmdb.org/t/p/w500//hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Solo Somos Carne,https://image.tmdb.org/t/p/w500//9eVqMhZEbq53VFbmRNqh3yzT0xM.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Terrifier 2,https://image.tmdb.org/t/p/w500//8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bandit,https://image.tmdb.org/t/p/w500//yph9PAbmjYPvyvbeZvdYIhCZHEu.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Big Trip 2: Special Delivery,https://image.tmdb.org/t/p/w500//dabXVfrAFfhDte8XVemom3mTJog.jpg,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Thor: Love and Thunder,https://image.tmdb.org/t/p/w500//pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Spider-Man: No Way Home,https://image.tmdb.org/t/p/w500//uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Champions,https://image.tmdb.org/t/p/w500//yVgtsoXyTZBww7SWE4JE1U4Wcel.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Troll,https://image.tmdb.org/t/p/w500//9z4jRr43JdtU66P0iy8h18OyLql.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
A Frozen Rooster,https://image.tmdb.org/t/p/w500//gBBCBMXKzWRADtliUYfV69aVIcz.jpg,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jurassic World Dominion,https://image.tmdb.org/t/p/w500//kAVRgw7GgK1CfYEJq8ME6EvRIgU.jpg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sniper: The White Raven,https://image.tmdb.org/t/p/w500//295gZzTXMvuiIG0U19h4M44PXxI.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Dolphin Boy,https://image.tmdb.org/t/p/w500//gISoDEiaUH9BNEunmLC7FgUVaia.jpg,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lord of the Streets,https://image.tmdb.org/t/p/w500//n9YWVQRc0zw0nwrFcOkOpffZxjc.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy Resurrection,https://image.tmdb.org/t/p/w500//d0pt6KlVvmtG0uhccWjgWfIqJee.jpg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Avatar,https://image.tmdb.org/t/p/w500//jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Sonic the Hedgehog 2,https://image.tmdb.org/t/p/w500//6DrHO1jr3qVrViUO6s6kFiAGM7.jpg,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Enforcer,https://image.tmdb.org/t/p/w500//pXC8JJbfnRWtbD8i2yKFqqWEO4X.jpg,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Chupa,https://image.tmdb.org/t/p/w500//ra3xm8KFAkwK0CdbPRkfYADJYTB.jpg,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Dragon Ball Super: Super Hero,https://image.tmdb.org/t/p/w500//pi0iZOEHeA3ih4p1IwAG4x2DZNH.jpg,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
John Wick: Chapter 3 - Parabellum,https://image.tmdb.org/t/p/w500//ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Violent Night,https://image.tmdb.org/t/p/w500//1XSYOP0JjjyMz1irihvWywro82r.jpg,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Top Gun: Maverick,https://image.tmdb.org/t/p/w500//62HCnUTziyWcpDaBO2i1DX17ljH.jpg,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Breaking,https://image.tmdb.org/t/p/w500//rKbgbzJbVM7MLjN7EwdO1QcIXCz.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Hex,https://image.tmdb.org/t/p/w500//mFukGiFZaVYoXIR8nrE95LlfbHG.jpg,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Barbie: Skipper and the Big Babysitting Adventure,https://image.tmdb.org/t/p/w500//3JysDbn3kZ1nc4a1yQgkg81KIdZ.jpg,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arctic Void,https://image.tmdb.org/t/p/w500//2OkdcVn1wIgRA4zo8tTbn7NNDUT.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Scream,https://image.tmdb.org/t/p/w500//1m3W6cpgwuIyjtg5nSnPx7yFkXW.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
JUNG_E,https://image.tmdb.org/t/p/w500//z2nfRxZCGFgAnVhb9pZO87TyTX5.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
R.I.P.D. 2: Rise of the Damned,https://image.tmdb.org/t/p/w500//g4yJTzMtOBUTAR2Qnmj8TYIcFVq.jpg,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Nocebo,https://image.tmdb.org/t/p/w500//3FPnDTlX0LsaU4VD5mc82BMbchA.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Scream VI,https://image.tmdb.org/t/p/w500//aePBN8ffLCHoUXp8lkA5P29CXdx.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
John Wick,https://image.tmdb.org/t/p/w500//nCzzQKGijVzfGFg42id7uDLOjY5.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Woman King,https://image.tmdb.org/t/p/w500//438QXt1E3WJWb3PqNniK0tAE5c1.jpg,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Transfusion,https://image.tmdb.org/t/p/w500//bxh5xCCW9Ynfg6EZJWUkc1zqTnr.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
The Boss Baby: Christmas Bonus,https://image.tmdb.org/t/p/w500//iMmMxF6f2OonUrXrHKBLSYAhXly.jpg,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Smile,https://image.tmdb.org/t/p/w500//aPqcQwu4VGEewPhagWNncDbJ9Xp.jpg,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
A Bronx Tale,https://image.tmdb.org/t/p/w500//sDbO6LmLYtyqAoFTPpRcMgPSCEO.jpg,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
There Are No Saints,https://image.tmdb.org/t/p/w500//fcOTYArjKuAgufwHoTvx8w9UKCv.jpg,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Doctor Strange in the Multiverse of Madness,https://image.tmdb.org/t/p/w500//9Gtg2DzBhmYamXBS1hKAhiwbBKS.jpg,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A Man Called Otto,https://image.tmdb.org/t/p/w500//130H1gap9lFfiTF9iDrqNIkFvC9.jpg,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Prey,https://image.tmdb.org/t/p/w500//ujr5pztc1oitbe7ViMUOilFaJ7s.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
